肖申克的救赎,1994,美国,犯罪 剧情,9.7,2774259,希望让人自由。
霸王别姬,1993,中国大陆 中国香港,剧情 爱情 同性,9.6,2054165,风华绝代。
阿甘正传,1994,美国,剧情 爱情,9.5,2080185,一部美国近现代史。
泰坦尼克号,1997,美国 墨西哥 澳大利亚 加拿大,剧情 爱情 灾难,9.5,2040952,失去的才是永恒的。 
这个杀手不太冷,1994,法国 美国,剧情 动作 犯罪,9.4,2217479,怪蜀黍和小萝莉不得不说的故事。
美丽人生,1997,意大利,剧情 喜剧 爱情 战争,9.6,1278491,最美的谎言。
千与千寻,2001,日本,剧情 动画 奇幻,9.4,2154571,最好的宫崎骏，最好的久石让。 
辛德勒的名单,1993,美国,剧情 历史 战争,9.6,1065503,拯救一个人，就是拯救整个世界。
盗梦空间,2010,美国 英国,剧情 科幻 悬疑 冒险,9.4,1987956,诺兰给了我们一场无法盗取的梦。
星际穿越,2014,美国 英国 加拿大,剧情 科幻 冒险,9.4,1732628,爱是一种力量，让我们超越时空感知它的存在。
楚门的世界,1998,美国,剧情 科幻,9.4,1619566,如果再也不能见到你，祝你早安，午安，晚安。
忠犬八公的故事,2009,美国 英国,剧情,9.4,1352516,永远都不能忘记你所爱的人。
海上钢琴师,1998,意大利,剧情 音乐,9.3,1619596,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
三傻大闹宝莱坞,2009,印度,剧情 喜剧 爱情 歌舞,9.2,1796856,英俊版憨豆，高情商版谢耳朵。
放牛班的春天,2004,法国 瑞士 德国,剧情 音乐,9.3,1265286,天籁一般的童声，是最接近上帝的存在。 
机器人总动员,2008,美国,科幻 动画 冒险,9.3,1270342,小瓦力，大人生。
无间道,2002,中国香港,剧情 犯罪 惊悚,9.3,1303041,香港电影史上永不过时的杰作。
疯狂动物城,2016,美国,喜剧 动画 冒险,9.2,1843000,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
控方证人,1957,美国,剧情 犯罪 悬疑,9.6,518345,比利·怀德满分作品。
大话西游之大圣娶亲,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.2,1477719,一生所爱。
熔炉,2011,韩国,剧情,9.4,900323,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
教父,1972,美国,剧情 犯罪,9.3,926073,千万不要记恨你的对手，这样会让你失去理智。
当幸福来敲门,2006,美国,剧情 传记 家庭,9.2,1466587,平民励志片。 
触不可及,2011,法国,剧情 喜剧,9.3,1060610,满满温情的高雅喜剧。
怦然心动,2010,美国,剧情 喜剧 爱情,9.1,1765715,真正的幸福是来自内心深处。
龙猫,1988,日本,动画 奇幻 冒险,9.2,1218005,人人心中都有个龙猫，童年就永远不会消失。
末代皇帝,1987,英国 意大利 中国大陆 法国,剧情 传记 历史,9.3,837425,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
寻梦环游记,2017,美国,喜剧 动画 奇幻 音乐,9.1,1595383,死亡不是真的逝去，遗忘才是永恒的消亡。
活着,1994,中国大陆 中国香港,剧情 历史 家庭,9.3,806435,张艺谋最好的电影。
蝙蝠侠：黑暗骑士,2008,美国 英国,剧情 动作 科幻 犯罪 惊悚,9.2,1017458,无尽的黑暗。
哈利·波特与魔法石,2001,美国 英国,奇幻 冒险,9.2,1130198,童话世界的开端。
指环王3：王者无敌,2003,美国 新西兰,剧情 动作 奇幻 冒险,9.3,771954,史诗的终章。
乱世佳人,1939,美国,剧情 历史 爱情 战争,9.3,664086,Tomorrow is another day.
素媛,2013,韩国,剧情,9.3,659549,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
飞屋环游记,2009,美国,剧情 喜剧 动画 冒险,9.1,1275043,最后那些最无聊的事情，才是最值得怀念的。 
我不是药神,2018,中国大陆,剧情 喜剧,9.0,2019201,对我们国家而言，这样的电影多一部是一部。
何以为家,2018,黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国,剧情,9.1,1004400,凝视卑弱生命，用电影改变命运。
摔跤吧！爸爸,2016,印度,剧情 传记 运动 家庭,9.0,1514358,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
十二怒汉,1957,美国,剧情,9.4,466646,1957年的理想主义。 
哈尔的移动城堡,2004,日本,动画 奇幻 冒险,9.1,976420,带着心爱的人在天空飞翔。
鬼子来了,2000,中国大陆,剧情 喜剧,9.3,601595,对敌人的仁慈，就是对自己残忍。
少年派的奇幻漂流,2012,美国 中国台湾 英国 加拿大,剧情 奇幻 冒险,9.1,1306722,瑰丽壮观、无人能及的冒险之旅。
猫鼠游戏,2002,美国 加拿大,传记 犯罪 剧情,9.1,969813,骗子大师和执著警探的你追我跑故事。 
让子弹飞,2010,中国大陆 中国香港,剧情 喜剧 动作 西部,9.0,1630790,你给我翻译翻译，神马叫做TMD的惊喜。
大话西游之月光宝盒,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.0,1177575,旷古烁今。
钢琴家,2002,英国 法国 波兰 德国,剧情 传记 战争 音乐,9.3,603071,音乐能化解仇恨。
海蒂和爷爷,2015,德国 瑞士,剧情 冒险 家庭,9.3,565003,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
天空之城,1986,日本,动画 奇幻 冒险,9.2,789240,对天空的追逐，永不停止。 
指环王2：双塔奇兵,2002,美国 新西兰,剧情 动作 奇幻 冒险,9.2,722771,承前启后的史诗篇章。
闻香识女人,1992,美国,剧情,9.1,845337,史上最美的探戈。
天堂电影院,1988,意大利 法国,剧情 爱情,9.2,658932,那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。
罗马假日,1953,美国,喜剧 剧情 爱情,9.1,918011,爱情哪怕只有一天。
大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),中国大陆,剧情 动画 奇幻 古装,9.4,415480,经典之作，历久弥新。
死亡诗社,1989,美国,剧情,9.2,687549,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
