紫阳茄子,¥0.80元/斤
鲜藕,¥2.50元/斤
姜,¥3.80元/斤
笨豆芽,¥2.00元/斤
绿裤茄子,¥1.00元/斤
菜心,¥3.50元/斤
西生菜,¥4.00元/斤
海鲜菇,¥6.50元/斤
蟹味菇（125g袋装）,¥5.00元/袋
白玉菇）,¥4.00元/斤
心里美萝卜,¥1.70元/斤
西葫芦,¥0.50元/斤
老黄瓜,¥1.80元/斤
冬瓜,¥0.80元/斤
净蒜,¥15.00元/斤
毛葱,¥1.80元/斤
大红尖椒,¥3.50元/斤
泰椒,¥8.50元/斤
长豆（线豆角）,¥2.60元/斤
油菜,¥1.40元/斤
山药,¥4.50元/斤
紫甘蓝,¥1.00元/斤
芹菜,¥1.80元/斤
窝瓜,¥0.90元/斤
香菜,¥4.00元/斤
苦苣,¥1.50元/斤
生菜,¥1.80元/斤
青椒,¥1.00元/斤
青麻椒,¥1.30元/斤
尖椒,¥1.00元/斤
臭菜,¥6.00元/斤
小白菜,¥1.20元/斤
青笋,¥2.20元/斤
架豆王,¥2.60元/斤
蒜苔,¥3.80元/斤
甘蓝,¥0.70元/斤
小葱,¥1.80元/斤
一点红豆角,¥5.00元/斤
苦瓜,¥3.00元/斤
旱黄瓜,¥0.80元/斤
油麦菜,¥1.70元/斤
蒜苗,¥12.00元/斤
西芹,¥2.50元/斤
娃娃菜,¥3.50元/袋
杏鲍菇,¥4.50元/斤
鲜蘑菇,¥5.50元/斤
胡萝卜,¥1.30元/斤
地瓜,¥1.50元/斤
圆葱,¥0.90元/斤
紫圆葱,¥1.10元/斤
大葱,¥1.40元/斤
带皮蒜,¥3.60元/斤
菜花,¥2.00元/斤
寿光紫阳茄子一级,¥1.50元/斤
西红柿,¥1.20元/斤
西兰花,¥5.50元/斤
菠菜,¥2.60元/斤
白萝卜,¥1.25元/斤
水黄瓜,¥0.60元/斤
沙白瓜,¥6.50元/斤
猕猴桃,¥120.00元/箱
火龙果,¥6.50元/斤
进口香蕉,¥6.00元/斤
哈密瓜,¥5.00元/斤
圣女果,¥5.00元/斤
西瓜,¥3.00元/斤
雨润猪肉馅,¥11.50元/斤
纯羊肉片,¥32.00元/斤
雨润后丘,¥11.80元/斤
雨润五花肉,¥12.00元/斤
雨润棒骨,¥10.00元/斤
雨润前槽猪肉,¥11.80元/斤
棒骨,¥10.50元/斤
鸡手,¥15.50元/袋（1斤）
白条鸡,¥6.20元/斤
鸡心,¥5.50元/斤
鸡腿肉,¥7.50元/斤
牛肉上脑,¥29.00元/斤
牛肋条,¥27.00元/斤
牛腱子,¥28.00元/斤
雨润里脊肉,¥14.50元/斤
脊骨,¥14.50元/斤
雨润精排,¥19.50元/斤
下五花肉,¥12.00元/斤
猪手,¥15.80元/斤
鸡蛋,¥2.80元/斤
精盐,¥2.00元/件
刀切面,¥4.00元/斤
秋木耳,¥65.00元/斤
香其酱（大袋）,¥50.00元/箱
小米,¥7.00元/斤
大豆腐,¥3.00元/块
木耳,¥60.00元/斤
孜然粒（散）,¥20.00元/斤
白糖（散）,¥4.00元/斤
鸡精（散）,¥25.00元/斤
花生米（散）,¥8.00元/斤
万昌大米（25kg）,¥145.00元/袋（25kg）
九三非转基因大豆油,¥58.00元/桶（5升）
金龙鱼非转基因大豆油,¥58.00元/斤
李锦记蒸鱼鼓油(410g),¥13.00元/瓶
紫林陈醋(500ml),¥4.00元/瓶
好人家水煮鱼(198g),¥8.00元/袋
王守义鸡精(100g),¥3.00元/袋
朱老六青方(310ml),¥8.00元/瓶
王致和青方(330ml),¥8.00元/瓶
黎红麻辣油（260ml）,¥9.00元/瓶
黎红花椒油（530ml）,¥16.00元/瓶
海天蚝油（700ml）,¥6.00元/瓶
杞参大料（50g）,¥5.00元/袋
北康白醋（310ml）,¥1.50元/瓶
厨邦鸡粉（1kg）,¥29.00元/桶
厨邦酱油（1.25l）,¥20.00元/瓶
厨邦海鲜酱油（410ml）,¥8.50元/瓶
海天黄豆酱（800g）,¥15.00元/桶
海天米醋（450ml）,¥6.00元/瓶
海天味极鲜（1.9L),¥20.00元/桶
海天草菇老抽（450ml）,¥6.00元/瓶
田野泉大豆酱,¥1.50元/袋
香其酱,¥1.50元/袋
王守义十三香(45g),¥3.00元/盒(45g)
海米,¥15.00元/50克
王致和红方(340ml),¥6.00元/瓶
朱老六红方(340ml),¥6.00元/瓶
东古一品鲜酱油（500ml）,¥8.00元/瓶
东古海鲜酱油(500ml),¥110.00元/件
芝麻,¥15.00元/斤
兵马俑香油(380ml),¥16.00元/瓶(170ml)
北康料酒(500ml),¥5.50元/瓶(500ml)
王致和料酒(件),¥75.00元/件
海天生抽1.9升,¥20.00元/桶(1.9L)
海天一品鲜（500ml）,¥8.00元/瓶
海天海鲜酱油(500ml),¥9.00元/瓶
北康桂花醋(500ml),¥6.00元/瓶
海天海鲜酱油(1.28L),¥20.00元/桶
土豆粉条,¥6.50元/斤
王守义花椒面（20g）,¥5.00元/袋（15克）
红梅味素（1kg）,¥165.00元/件（1kg）
豆腐泡,¥4.00元/斤
干豆腐,¥4.00元/斤
油豆腐,¥4.00元/斤
农村干豆腐,¥4.00元/斤
墨鱼丸,¥8.00元/袋
鳕鱼,¥6.50元/斤
